12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
55-59	17845.0	23531.0	11427.0	1525.0	-	8245.0	1262.0	50.0	101.0	115.0	74.0	12.0	430.0	290.0	38.0	12524.0	4853.0	422.0	8.0
60-64	27543.0	38918.0	9164.0	2891.0	-	25068.0	1243.0	80.0	-	162.0	76.0	22.0	76.0	136.0	34.0	17065.0	9498.0	929.0	17.0
65 и более	48140.0	59897.0	5999.0	4638.0	-	44961.0	3392.0	130.0	-	340.0	122.0	27.0	174.0	114.0	66.0	37005.0	10339.0	708.0	22.0
возраст не указан	72.0	85.0	47.0	-	1.0	15.0	2.0	6.0	2.0	1.0	-	3.0	3.0	5.0	2.0	60.0	6.0	3.0	1.0
Казахи	106389.0	131864.0	52489.0	5171.0	3985.0	7958.0	2909.0	12918.0	525.0	4899.0	319.0	98.0	37761.0	2832.0	103.0	81758.0	23511.0	984.0	33.0
в том числе в возрасте, лет:																			
до 15	20931.0	32454.0	-	88.0	29.0	366.0	243.0	11243.0	-	551.0	3.0	18.0	19864.0	49.0	18.0	9716.0	10861.0	328.0	8.0
15-19	14153.0	19074.0	2808.0	214.0	3109.0	240.0	165.0	1484.0	20.0	699.0	13.0	7.0	10203.0	112.0	8.0	9580.0	4220.0	326.0	19.0
20-29	19961.0	22232.0	13950.0	673.0	826.0	37.0	276.0	64.0	92.0	1662.0	68.0	12.0	3952.0	620.0	16.0	17754.0	2098.0	90.0	3.0
30-49	37771.0	41857.0	29790.0	2819.0	21.0	685.0	1245.0	102.0	318.0	1767.0	183.0	50.0	3183.0	1694.0	43.0	33684.0	3960.0	83.0	1.0
50-54	5226.0	6082.0	3795.0	537.0	-	589.0	357.0	11.0	67.0	97.0	22.0	4.0	376.0	227.0	7.0	4406.0	763.0	50.0	-
55-59	2305.0	2783.0	1414.0	258.0	-	561.0	245.0	6.0	28.0	35.0	14.0	3.0	139.0	80.0	-	1856.0	421.0	27.0	1.0
60-64	2377.0	3083.0	500.0	273.0	-	2089.0	137.0	2.0	-	28.0	8.0	3.0	17.0	26.0	3.0	1718.0	604.0	51.0	1.0
65 и более	3648.0	4287.0	224.0	308.0	-	3391.0	241.0	6.0	-	59.0	8.0	1.0	26.0	23.0	2.0	3034.0	583.0	29.0	-
возраст не указан	17.0	12.0	8.0	1.0	-	-	-	-	-	1.0	-	-	1.0	1.0	6.0	10.0	1.0	-	-
Удмурты	129227.0	169882.0	75235.0	20200.0	3620.0	20927.0	4838.0	9479.0	878.0	2772.0	363.0	108.0	30038.0	1424.0	51.0	90904.0	35925.0	2267.0	80.0
в том числе в возрасте, лет:																			
до 15	14610.0	23101.0	-	196.0	21.0	350.0	211.0	7831.0	-	282.0	4.0	4.0	14182.0	20.0	-	6529.0	7680.0	392.0	9.0
15-19	11898.0	17168.0	2444.0	553.0	2979.0	367.0	165.0	1334.0	25.0	403.0	12.0	2.0	8849.0	35.0	1.0	7188.0	4177.0	502.0	30.0
20-29	20528.0	24089.0	16799.0	2088.0	617.0	66.0	366.0	100.0	131.0	837.0	47.0	5.0	2830.0	203.0	9.0	17099.0	3279.0	135.0	6.0
30-49	49939.0	61399.0	42538.0	9653.0	2.0	1239.0	1888.0	147.0	558.0	918.0	174.0	62.0	3318.0	902.0	25.0	38773.0	10803.0	334.0	4.0
50-54	10842.0	14532.0	8518.0	2580.0	-	1508.0	817.0	29.0	121.0	117.0	40.0	10.0	607.0	185.0	10.0	7428.0	3120.0	273.0	11.0
55-59	4532.0	6343.0	2920.0	1077.0	-	1610.0	404.0	7.0	43.0	30.0	13.0	5.0	184.0	50.0	1.0	2893.0	1469.0	165.0	4.0
60-64	6406.0	9399.0	1469.0	1554.0	-	5913.0	313.0	14.0	-	73.0	18.0	6.0	22.0	17.0	3.0	3708.0	2404.0	281.0	10.0
65 и более	10463.0	13838.0	538.0	2498.0	-	9874.0	674.0	17.0	-	110.0	55.0	14.0	46.0	12.0	2.0	7281.0	2989.0	185.0	6.0
возраст не указан	9.0	13.0	9.0	1.0	1.0	-	-	-	-	2.0	-	-	-	-	-	5.0	4.0	-	-
Азербайджанцы	307346.0	344461.0	171272.0	6368.0	3140.0	10002.0	4187.0	21713.0	1376.0	6285.0	2119.0	513.0	95865.0	21621.0	1284.0	268480.0	36804.0	745.0	33.0
в том числе в возрасте, лет:																			
до 15	68274.0	86982.0	34.0	67.0	7.0	193.0	402.0	19265.0	-	371.0	12.0	36.0	66454.0	141.0	226.0	49344.0	18484.0	212.0	8.0
15-19	18199.0	22289.0	2948.0	194.0	2059.0	98.0	170.0	2007.0	36.0	333.0	13.0	24.0	13967.0	440.0	43.0	14160.0	3865.0	127.0	4.0
20-29	48345.0	51360.0	33450.0	801.0	1041.0	35.0	297.0	72.0	309.0	1691.0	343.0	76.0	7339.0	5906.0	234.0	44941.0	3093.0	75.0	2.0
30-49	148639.0	156749.0	121545.0	4277.0	33.0	1303.0	1966.0	335.0	919.0	3660.0	1526.0	321.0	7100.0	13764.0	674.0	139399.0	8362.0	192.0	12.0
50-54	10683.0	11523.0	8115.0	420.0	-	706.0	514.0	14.0	83.0	125.0	131.0	28.0	538.0	849.0	46.0	9787.0	816.0	32.0	2.0
55-59	4134.0	4672.0	2786.0	232.0	-	735.0	292.0	6.0	29.0	41.0	40.0	12.0	218.0	281.0	19.0	3590.0	494.0	30.0	1.0
60-64	4161.0	5236.0	1550.0	199.0	-	2957.0	223.0	7.0	-	34.0	34.0	8.0	98.0	126.0	6.0	3132.0	967.0	54.0	2.0
65 и более	4708.0	5470.0	720.0	178.0	-	3973.0	322.0	7.0	-	28.0	19.0	8.0	134.0	81.0	9.0	3955.0	719.0	23.0	2.0
возраст не указан	203.0	180.0	124.0	-	-	2.0	1.0	-	-	2.0	1.0	-	17.0	33.0	27.0	172.0	4.0	-	-
Марийцы	113570.0	149123.0	62743.0	14168.0	3912.0	13123.0	4072.0	12030.0	842.0	2905.0	282.0	112.0	33427.0	1507.0	54.0	79966.0	31559.0	1925.0	66.0
в том числе в возрасте, лет:																			
до 15	17437.0	28331.0	-	244.0	8.0	474.0	217.0	10097.0	-	449.0	26.0	11.0	16766.0	39.0	8.0	7075.0	9824.0	512.0	18.0
15-19	12594.0	18334.0	2299.0	519.0	3236.0	405.0	195.0	1682.0	28.0	422.0	7.0	5.0	9486.0	50.0	4.0	7451.0	4565.0	543.0	31.0
20-29	19373.0	22481.0	14931.0	1600.0	660.0	82.0	338.0	83.0	149.0	895.0	42.0	18.0	3406.0	277.0	10.0	16396.0	2820.0	143.0	4.0
30-49	43362.0	52362.0	36126.0	7501.0	5.0	1194.0	1655.0	119.0	512.0	924.0	166.0	54.0	3163.0	943.0	25.0	34575.0	8503.0	255.0	4.0
50-54	7989.0	10388.0	6140.0	1761.0	-	1005.0	669.0	25.0	109.0	73.0	22.0	8.0	439.0	137.0	3.0	5720.0	2135.0	126.0	5.0
55-59	3113.0	4262.0	1947.0	726.0	-	971.0	356.0	5.0	44.0	27.0	6.0	3.0	134.0	43.0	2.0	2056.0	960.0	94.0	1.0
60-64	3933.0	5627.0	933.0	797.0	-	3609.0	213.0	11.0	-	35.0	5.0	6.0	8.0	10.0	1.0	2419.0	1332.0	180.0	1.0
65 и более	5758.0	7322.0	363.0	1019.0	-	5380.0	429.0	8.0	-	78.0	8.0	7.0	22.0	8.0	1.0	4267.0	1417.0	71.0	2.0
возраст не указан	11.0	16.0	4.0	1.0	3.0	3.0	-	-	-	2.0	-	-	3.0	-	-	7.0	3.0	1.0	-
Немцы	164015.0	204588.0	92105.0	16745.0	4237.0	29825.0	5189.0	10116.0	814.0	3914.0	693.0	142.0	38434.0	2374.0	100.0	125606.0	36014.0	2229.0	66.0
в том числе в возрасте, лет:																			
до 15	18479.0	27153.0	-	182.0	14.0	311.0	239.0	8265.0	-	205.0	3.0	13.0	17873.0	48.0	15.0	10115.0	8011.0	336.0	2.0
15-19	14896.0	20157.0	2856.0	570.0	2973.0	322.0	220.0	1359.0	31.0	412.0	12.0	6.0	11312.0	84.0	6.0	10153.0	4227.0	491.0	19.0
20-29	33106.0	37599.0	25421.0	2071.0	1238.0	70.0	469.0	143.0	196.0	1802.0	154.0	18.0	5435.0	582.0	17.0	28755.0	4170.0	153.0	11.0
30-49	52571.0	61353.0	44766.0	6937.0	12.0	1482.0	1874.0	160.0	421.0	1146.0	343.0	64.0	2902.0	1246.0	34.0	43993.0	8277.0	262.0	5.0
50-54	15938.0	20089.0	12527.0	2414.0	-	2704.0	1068.0	53.0	135.0	133.0	81.0	20.0	675.0	279.0	12.0	12071.0	3557.0	289.0	9.0
55-59	4289.0	5667.0	2850.0	594.0	-	1544.0	360.0	12.0	31.0	34.0	25.0	8.0	137.0	72.0	4.0	3018.0	1154.0	111.0	2.0
60-64	8277.0	11904.0	2435.0	1367.0	-	7560.0	367.0	25.0	-	69.0	26.0	5.0	27.0	23.0	1.0	5025.0	2885.0	355.0	11.0
65 и более	16438.0	20649.0	1236.0	2610.0	-	15831.0	592.0	99.0	-	112.0	49.0	8.0	72.0	40.0	6.0	12461.0	3732.0	232.0	7.0
возраст не указан	21.0	17.0	14.0	-	-	1.0	-	-	-	1.0	-	-	1.0	-	5.0	15.0	1.0	-	-
Кабардинцы	114449.0	156819.0	47380.0	4983.0	6365.0	9420.0	3403.0	28524.0	785.0	833.0	520.0	176.0	53814.0	616.0	14.0	73149.0	40210.0	1055.0	21.0
в том числе в возрасте, лет:																			
до 15	26022.0	50889.0	-	7.0	8.0	459.0	221.0	24429.0	-	201.0	3.0	39.0	25504.0	18.0	-	1704.0	23776.0	535.0	7.0
15-19	13645.0	21507.0	1404.0	161.0	3709.0	209.0	159.0	3865.0	30.0	251.0	9.0	3.0	11675.0	32.0	-	6026.0	7383.0	229.0	7.0
20-29	22460.0	26297.0	12358.0	872.0	2630.0	35.0	305.0	95.0	239.0	188.0	83.0	30.0	9306.0	156.0	4.0	18714.0	3645.0	95.0	2.0
30-49	34876.0	37516.0	25593.0	2632.0	18.0	305.0	1353.0	111.0	456.0	151.0	320.0	74.0	6178.0	325.0	10.0	32277.0	2531.0	56.0	2.0
50-54	5592.0	6084.0	4080.0	425.0	-	307.0	387.0	6.0	46.0	10.0	55.0	8.0	705.0	55.0	-	5119.0	455.0	17.0	1.0
55-59	3128.0	3552.0	2091.0	258.0	-	525.0	320.0	5.0	14.0	6.0	21.0	8.0	290.0	14.0	-	2722.0	389.0	16.0	1.0
60-64	3902.0	5148.0	1260.0	289.0	-	3207.0	288.0	4.0	-	13.0	11.0	9.0	63.0	4.0	-	2715.0	1128.0	59.0	-
65 и более	4822.0	5824.0	592.0	339.0	-	4373.0	370.0	9.0	-	13.0	18.0	5.0	93.0	12.0	-	3870.0	903.0	48.0	1.0
возраст не указан	2.0	2.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	2.0	-	-	-
Осетины	160107.0	207733.0	60198.0	8271.0	6478.0	23094.0	5881.0	27440.0	710.0	2770.0	1193.0	341.0	69277.0	2080.0	369.0	112889.0	45725.0	1105.0	19.0
в том числе в возрасте, лет:																			
до 15	33374.0	57034.0	2.0	31.0	30.0	300.0	250.0	23519.0	-	370.0	3.0	18.0	32488.0	23.0	62.0	9859.0	23187.0	263.0	3.0
15-19	15275.0	23023.0	1283.0	251.0	3929.0	171.0	204.0	3617.0	17.0	524.0	10.0	8.0	12964.0	45.0	24.0	7793.0	7151.0	302.0	5.0
20-29	25955.0	30161.0	12955.0	1229.0	2475.0	46.0	402.0	152.0	205.0	923.0	148.0	36.0	11139.0	451.0	51.0	21784.0	3985.0	133.0	2.0
30-49	49098.0	53508.0	32632.0	3725.0	44.0	713.0	2081.0	110.0	416.0	804.0	804.0	196.0	10707.0	1276.0	107.0	44586.0	4295.0	108.0	2.0
50-54	8718.0	9708.0	5752.0	650.0	-	857.0	793.0	17.0	51.0	54.0	130.0	43.0	1176.0	185.0	18.0	7734.0	927.0	37.0	2.0
55-59	5014.0	5825.0	2937.0	428.0	-	1205.0	553.0	6.0	21.0	23.0	59.0	12.0	512.0	69.0	8.0	4225.0	743.0	38.0	-
60-64	8106.0	10576.0	2609.0	664.0	-	6540.0	549.0	5.0	-	27.0	19.0	13.0	128.0	22.0	11.0	5720.0	2272.0	100.0	3.0
65 и более	14476.0	17870.0	2015.0	1293.0	-	13262.0	1049.0	14.0	-	45.0	20.0	15.0	151.0	6.0	24.0	11162.0	3164.0	124.0	2.0
возраст не указан	91.0	28.0	13.0	-	-	-	-	-	-	-	-	-	12.0	3.0	64.0	26.0	1.0	-	-
Даргинцы	87841.0	121440.0	31712.0	2253.0	7475.0	5134.0	2683.0	23709.0	1095.0	1377.0	612.0	279.0	43035.0	2076.0	33.0	54660.0	32685.0	442.0	21.0
в том числе в возрасте, лет:																			
до 15	23005.0	43350.0	1.0	1.0	24.0	106.0	233.0	20512.0	-	201.0	1.0	40.0	22207.0	24.0	-	2930.0	19821.0	238.0	16.0
15-19	12496.0	19597.0	1382.0	88.0	4273.0	55.0	144.0	3091.0	45.0	190.0	8.0	14.0	10227.0	80.0	3.0	5512.0	6859.0	121.0	1.0
20-29	17262.0	20820.0	7917.0	475.0	3163.0	18.0	286.0	43.0	356.0	472.0	115.0	46.0	7299.0	630.0	10.0	13719.0	3501.0	29.0	3.0
30-49	25469.0	26978.0	18391.0	1399.0	15.0	135.0	1178.0	53.0	639.0	477.0	440.0	142.0	2932.0	1177.0	17.0	23959.0	1460.0	33.0	-
50-54	2958.0	3154.0	2139.0	163.0	-	137.0	268.0	3.0	34.0	17.0	31.0	14.0	232.0	116.0	-	2767.0	186.0	5.0	-
55-59	1366.0	1472.0	860.0	52.0	-	236.0	159.0	1.0	21.0	6.0	9.0	8.0	84.0	36.0	1.0	1262.0	99.0	4.0	-
60-64	1856.0	2238.0	624.0	37.0	-	1401.0	142.0	2.0	-	5.0	3.0	5.0	14.0	5.0	-	1480.0	371.0	4.0	1.0
65 и более	3424.0	3828.0	397.0	38.0	-	3046.0	273.0	4.0	-	9.0	5.0	10.0	38.0	8.0	-	3028.0	388.0	8.0	-
возраст не указан	5.0	3.0	1.0	-	-	-	-	-	-	-	-	-	2.0	-	2.0	3.0	-	-	-
Буряты	90240.0	119986.0	38825.0	8173.0	5254.0	9172.0	3105.0	11580.0	422.0	2791.0	248.0	85.0	38685.0	1646.0	55.0	62941.0	24797.0	2340.0	107.0
в том числе в возрасте, лет:																			
до 15	19619.0	30920.0	2.0	632.0	11.0	645.0	265.0	9979.0	-	260.0	7.0	4.0	19091.0	24.0	16.0	9261.0	9398.0	915.0	29.0
15-19	13127.0	19422.0	1862.0	866.0	3505.0	577.0	186.0	1429.0	10.0	451.0	9.0	5.0	10450.0	72.0	3.0	7715.0	4578.0	773.0	58.0
20-29	19095.0	23027.0	12021.0	1434.0	1688.0	151.0	382.0	87.0	95.0	1088.0	61.0	10.0	5602.0	408.0	12.0	15383.0	3465.0	226.0	9.0
30-49	25614.0	30057.0	19379.0	3449.0	47.0	753.0	1220.0	73.0	240.0	826.0	115.0	43.0	2991.0	921.0	16.0	21281.0	4178.0	136.0	3.0
50-54	4471.0	5484.0	3145.0	661.0	-	589.0	401.0	9.0	49.0	70.0	19.0	7.0	382.0	152.0	2.0	3512.0	901.0	55.0	1.0
55-59	1931.0	2545.0	1183.0	293.0	-	640.0	194.0	3.0	28.0	21.0	15.0	6.0	121.0	41.0	4.0	1361.0	515.0	50.0	1.0
60-64	2331.0	3374.0	788.0	323.0	-	2071.0	133.0	-	-	30.0	5.0	3.0	10.0	11.0	-	1397.0	826.0	107.0	1.0
65 и более	4042.0	5146.0	440.0	515.0	-	3746.0	324.0	-	-	45.0	17.0	7.0	37.0	15.0	1.0	3024.0	934.0	78.0	5.0
возраст не указан	10.0	11.0	5.0	-	3.0	-	-	-	-	-	-	-	1.0	2.0	1.0	7.0	2.0	-	-
Якуты	72107.0	96907.0	31344.0	2677.0	6349.0	7473.0	2807.0	11280.0	160.0	2886.0	278.0	117.0	30652.0	884.0	141.0	48622.0	21805.0	1485.0	54.0
в том числе в возрасте, лет:																			
до 15	17896.0	28421.0	4.0	68.0	4.0	453.0	428.0	9872.0	-	390.0	8.0	18.0	17152.0	24.0	46.0	7780.0	9578.0	483.0	9.0
15-19	9637.0	14711.0	985.0	114.0	3830.0	264.0	221.0	1264.0	3.0	269.0	12.0	8.0	7693.0	48.0	11.0	4913.0	4362.0	332.0	19.0
20-29	14599.0	17553.0	9290.0	325.0	2470.0	56.0	330.0	86.0	43.0	746.0	65.0	26.0	3897.0	219.0	25.0	11757.0	2663.0	146.0	8.0
30-49	20424.0	22940.0	16536.0	1218.0	45.0	458.0	1042.0	41.0	101.0	1169.0	137.0	40.0	1650.0	503.0	36.0	18012.0	2207.0	163.0	6.0
50-54	2869.0	3544.0	2209.0	282.0	-	380.0	300.0	4.0	12.0	98.0	20.0	8.0	165.0	66.0	8.0	2244.0	554.0	60.0	3.0
55-59	1709.0	2725.0	1033.0	181.0	-	1291.0	121.0	2.0	1.0	42.0	11.0	5.0	25.0	13.0	4.0	789.0	816.0	96.0	4.0
60-64	1560.0	2451.0	687.0	191.0	-	1414.0	82.0	1.0	-	36.0	5.0	6.0	23.0	6.0	3.0	761.0	698.0	98.0	-
65 и более	3408.0	4559.0	598.0	298.0	-	3157.0	283.0	10.0	-	136.0	20.0	6.0	46.0	5.0	6.0	2363.0	927.0	107.0	5.0
возраст не указан	5.0	3.0	2.0	-	-	-	-	-	-	-	-	-	1.0	-	2.0	3.0	-	-	-
Кумыки	96486.0	132127.0	34037.0	2540.0	6929.0	5980.0	3205.0	26851.0	1304.0	1352.0	499.0	396.0	47420.0	1614.0	25.0	61273.0	34729.0	440.0	19.0
в том числе в возрасте, лет:																			
до 15	26138.0	48581.0	-	4.0	21.0	108.0	197.0	22926.0	-	121.0	1.0	68.0	25117.0	18.0	10.0	3912.0	21991.0	213.0	12.0
15-19	13411.0	21007.0	1370.0	95.0	4087.0	62.0	129.0	3828.0	68.0	183.0	5.0	17.0	11119.0	44.0	1.0	5975.0	7279.0	150.0	6.0
20-29	18037.0	21270.0	8734.0	610.0	2804.0	13.0	322.0	39.0	479.0	488.0	88.0	69.0	7182.0	442.0	6.0	14819.0	3186.0	25.0	1.0
30-49	26877.0	28171.0	19177.0	1372.0	16.0	164.0	1318.0	43.0	680.0	510.0	321.0	182.0	3454.0	934.0	6.0	25594.0	1254.0	23.0	-
50-54	3927.0	4134.0	2679.0	240.0	-	181.0	401.0	6.0	63.0	14.0	59.0	24.0	338.0	129.0	2.0	3721.0	199.0	5.0	-
55-59	1863.0	2005.0	1129.0	105.0	-	279.0	250.0	6.0	14.0	13.0	20.0	12.0	143.0	34.0	-	1724.0	136.0	3.0	-
60-64	2356.0	2741.0	636.0	68.0	-	1750.0	228.0	1.0	-	10.0	4.0	10.0	27.0	7.0	-	1984.0	359.0	13.0	-
65 и более	3870.0	4210.0	310.0	46.0	-	3423.0	359.0	2.0	-	11.0	1.0	14.0	38.0	6.0	-	3538.0	324.0	8.0	-
возраст не указан	7.0	8.0	2.0	-	1.0	-	1.0	-	-	2.0	-	-	2.0	-	-	6.0	1.0	-	-
Ингуши	91497.0	100655.0	17002.0	2509.0	4075.0	5399.0	3582.0	28033.0	3894.0	1510.0	728.0	362.0	29982.0	3579.0	233.0	82071.0	8999.0	190.0	4.0
в том числе в возрасте, лет:																			
до 15	29940.0	34349.0	-	21.0	2.0	170.0	223.0	24258.0	-	167.0	7.0	12.0	9443.0	46.0	86.0	25415.0	4384.0	54.0	1.0
15-19	10706.0	11946.0	663.0	79.0	1776.0	77.0	95.0	3193.0	218.0	218.0	16.0	7.0	5450.0	154.0	22.0	9443.0	1221.0	19.0	1.0
20-29	16694.0	17828.0	4266.0	394.0	2186.0	22.0	275.0	186.0	1333.0	437.0	124.0	61.0	7641.0	903.0	43.0	15511.0	1103.0	37.0	-
30-49	24287.0	25886.0	10006.0	1585.0	108.0	247.0	1448.0	314.0	2150.0	629.0	475.0	228.0	6572.0	2124.0	57.0	22643.0	1519.0	67.0	1.0
50-54	2977.0	3217.0	1067.0	220.0	-	281.0	540.0	29.0	158.0	36.0	68.0	33.0	544.0	241.0	8.0	2730.0	231.0	7.0	1.0
55-59	1540.0	1671.0	489.0	91.0	-	407.0	321.0	9.0	34.0	15.0	22.0	10.0	193.0	80.0	1.0	1407.0	132.0	-	-
60-64	1867.0	2093.0	356.0	55.0	-	1310.0	265.0	9.0	-	7.0	10.0	5.0	57.0	19.0	2.0	1641.0	220.0	4.0	-
65 и более	3392.0	3577.0	139.0	64.0	-	2877.0	413.0	11.0	-	1.0	4.0	6.0	50.0	12.0	3.0	3203.0	184.0	2.0	-
возраст не указан	94.0	88.0	16.0	-	3.0	8.0	2.0	24.0	1.0	-	2.0	-	32.0	-	11.0	78.0	5.0	-	-
Лезгины	99144.0	131399.0	39541.0	2338.0	7552.0	5575.0	2452.0	21960.0	1199.0	1557.0	429.0	240.0	46599.0	1957.0	55.0	67207.0	31467.0	403.0	12.0
в том числе в возрасте, лет:																			
до 15	24227.0	42625.0	-	10.0	38.0	107.0	179.0	18662.0	-	113.0	1.0	42.0	23451.0	22.0	13.0	5974.0	18074.0	161.0	5.0
15-19	14333.0	21954.0	1577.0	84.0	4760.0	62.0	89.0	3165.0	37.0	255.0	5.0	19.0	11833.0	68.0	7.0	6829.0	7368.0	127.0	2.0
20-29	18715.0	21858.0	9332.0	421.0	2732.0	22.0	216.0	51.0	326.0	528.0	100.0	38.0	7617.0	475.0	9.0	15591.0	3079.0	35.0	1.0
30-49	31242.0	32947.0	23706.0	1459.0	22.0	348.0	1109.0	71.0	764.0	594.0	278.0	124.0	3257.0	1215.0	21.0	29546.0	1628.0	44.0	3.0
50-54	3851.0	4152.0	2753.0	198.0	-	295.0	345.0	6.0	59.0	33.0	22.0	9.0	306.0	126.0	2.0	3554.0	287.0	8.0	-
55-59	1472.0	1619.0	971.0	59.0	-	299.0	159.0	1.0	13.0	8.0	8.0	-	73.0	28.0	-	1330.0	137.0	5.0	-
60-64	2186.0	2675.0	773.0	52.0	-	1650.0	142.0	1.0	-	7.0	6.0	2.0	26.0	16.0	-	1713.0	458.0	14.0	1.0
65 и более	3108.0	3560.0	423.0	55.0	-	2791.0	213.0	3.0	-	19.0	9.0	6.0	35.0	6.0	1.0	2663.0	435.0	9.0	-
возраст не указан	10.0	9.0	6.0	-	-	1.0	-	-	-	-	-	-	1.0	1.0	2.0	7.0	1.0	-	-
Коми	57291.0	69948.0	30293.0	3707.0	2072.0	9798.0	2601.0	2534.0	384.0	2228.0	182.0	58.0	14809.0	1282.0	44.0	45422.0	10975.0	825.0	25.0
в том числе в возрасте, лет:																			
до 15	8175.0	10499.0	1.0	16.0	2.0	244.0	120.0	2030.0	-	277.0	-	1.0	7781.0	27.0	15.0	5932.0	2120.0	105.0	3.0
15-19	5670.0	7805.0	957.0	92.0	1604.0	244.0	87.0	325.0	13.0	264.0	7.0	-	4169.0	43.0	2.0	3724.0	1756.0	183.0	5.0
20-29	10494.0	11757.0	8355.0	356.0	460.0	37.0	249.0	42.0	63.0	563.0	35.0	8.0	1386.0	203.0	3.0	9302.0	1115.0	71.0	3.0
30-49	19972.0	22784.0	16068.0	1637.0	4.0	636.0	1082.0	97.0	244.0	843.0	96.0	39.0	1245.0	793.0	17.0	17240.0	2608.0	101.0	6.0
50-54	4337.0	5537.0	3068.0	502.0	-	967.0	451.0	15.0	60.0	83.0	19.0	5.0	194.0	173.0	4.0	3232.0	1000.0	99.0	2.0
55-59	1879.0	2817.0	916.0	234.0	-	1453.0	133.0	6.0	4.0	24.0	6.0	-	20.0	21.0	1.0	1045.0	729.0	102.0	2.0
60-64	2474.0	3445.0	607.0	333.0	-	2288.0	140.0	7.0	-	52.0	4.0	2.0	3.0	9.0	-	1600.0	779.0	93.0	2.0
65 и более	4269.0	5281.0	310.0	536.0	-	3928.0	339.0	11.0	-	122.0	15.0	3.0	7.0	10.0	-	3331.0	866.0	70.0	2.0
возраст не указан	21.0	23.0	11.0	1.0	2.0	1.0	-	1.0	-	-	-	-	4.0	3.0	2.0	16.0	2.0	1.0	-
Тувинцы	50898.0	76572.0	14887.0	5068.0	2770.0	5082.0	2918.0	13902.0	894.0	3558.0	59.0	93.0	26886.0	455.0	1.0	28022.0	20191.0	2569.0	115.0
в том числе в возрасте, лет:																			
до 15	15644.0	29515.0	-	486.0	8.0	1261.0	335.0	12038.0	-	274.0	3.0	21.0	15083.0	6.0	-	3208.0	11057.0	1323.0	56.0
15-19	7766.0	12781.0	1290.0	647.0	1838.0	879.0	226.0	1779.0	25.0	384.0	5.0	16.0	5672.0	20.0	-	3753.0	3063.0	899.0	51.0
20-29	10582.0	12987.0	4840.0	1068.0	903.0	153.0	555.0	43.0	310.0	1437.0	14.0	23.0	3528.0	113.0	-	8309.0	2143.0	128.0	2.0
30-49	13084.0	15994.0	7572.0	2102.0	20.0	317.0	1387.0	37.0	536.0	1274.0	24.0	28.0	2427.0	270.0	-	10284.0	2692.0	106.0	2.0
50-54	1259.0	1670.0	679.0	262.0	-	246.0	230.0	2.0	20.0	55.0	6.0	4.0	140.0	26.0	1.0	875.0	356.0	25.0	2.0
55-59	948.0	1414.0	297.0	200.0	-	756.0	83.0	1.0	3.0	36.0	2.0	-	24.0	12.0	-	530.0	372.0	44.0	2.0
60-64	799.0	1131.0	144.0	169.0	-	732.0	43.0	1.0	-	30.0	2.0	1.0	5.0	4.0	-	491.0	284.0	24.0	-
65 и более	812.0	1075.0	62.0	134.0	-	738.0	59.0	1.0	-	68.0	3.0	-	7.0	3.0	-	569.0	223.0	20.0	-
возраст не указан	4.0	5.0	3.0	-	1.0	-	-	-	-	-	-	-	-	1.0	-	3.0	1.0	-	-
Евреи	115427.0	140251.0	63146.0	2972.0	2016.0	47660.0	6036.0	1976.0	240.0	964.0	1182.0	274.0	11798.0	1987.0	582.0	90883.0	22633.0	1244.0	85.0
в том числе в возрасте, лет:																			
до 15	5791.0	7275.0	4.0	2.0	1.0	44.0	47.0	1487.0	-	54.0	-	3.0	5612.0	21.0	40.0	4253.0	1472.0	26.0	-
15-19	3860.0	5080.0	413.0	25.0	964.0	57.0	63.0	278.0	5.0	49.0	15.0	7.0	3136.0	68.0	16.0	2701.0	1063.0	71.0	9.0
20-29	8945.0	10178.0	6445.0	97.0	1024.0	29.0	152.0	29.0	35.0	226.0	104.0	36.0	1719.0	282.0	70.0	7694.0	1084.0	80.0	17.0
30-49	26404.0	27949.0	23515.0	521.0	26.0	486.0	785.0	62.0	109.0	302.0	376.0	104.0	762.0	901.0	171.0	24640.0	1493.0	86.0	14.0
50-54	10438.0	11493.0	9133.0	335.0	-	757.0	530.0	22.0	44.0	50.0	150.0	26.0	221.0	225.0	55.0	9349.0	963.0	68.0	3.0
55-59	9287.0	10672.0	7653.0	326.0	-	1495.0	600.0	21.0	47.0	42.0	134.0	28.0	158.0	168.0	49.0	7881.0	1284.0	70.0	3.0
