15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
США	5.0	1.0	-	1.0	2.0	1.0	-	-	-	-	1.0	4.0	-
Турции	30.0	3.0	1.0	9.0	10.0	6.0	1.0	-	-	-	4.0	26.0	-
Эстонии	7.0	1.0	1.0	1.0	3.0	1.0	-	-	-	-	2.0	5.0	-
без гражданства	6206.0	922.0	1152.0	1247.0	1290.0	874.0	362.0	208.0	151.0	-	1638.0	4159.0	409.0
гражданство не указано	1353.0	98.0	168.0	227.0	211.0	235.0	121.0	129.0	64.0	100.0	195.0	849.0	209.0
Новосибирская область													
Все население	2692251.0	230527.0	431949.0	429902.0	355107.0	458755.0	292116.0	265009.0	228871.0	15.0	462180.0	1679897.0	550159.0
в том числе:													
граждане России	2671398.0	228272.0	427502.0	424802.0	350817.0	456165.0	291149.0	264312.0	228365.0	14.0	457906.0	1664659.0	548819.0
из них имеющие два гражданства	636.0	56.0	86.0	144.0	158.0	77.0	42.0	47.0	26.0	-	89.0	464.0	83.0
иностранные граждане	14472.0	1384.0	3084.0	3853.0	3062.0	1735.0	615.0	443.0	296.0	-	2519.0	11136.0	817.0
из них имеющие гражданство:													
стран СНГ	13326.0	1318.0	2942.0	3550.0	2730.0	1531.0	569.0	412.0	274.0	-	2412.0	10155.0	759.0
Азербайджана	1898.0	308.0	275.0	420.0	589.0	249.0	42.0	10.0	5.0	-	534.0	1349.0	15.0
Армении	2075.0	295.0	385.0	450.0	449.0	306.0	119.0	56.0	15.0	-	549.0	1443.0	83.0
Белоруссии	240.0	11.0	32.0	33.0	42.0	34.0	21.0	41.0	26.0	-	25.0	145.0	70.0
Грузии	406.0	56.0	67.0	86.0	91.0	72.0	19.0	12.0	3.0	-	95.0	295.0	16.0
Казахстана	3782.0	231.0	1527.0	989.0	378.0	274.0	140.0	135.0	108.0	-	465.0	3051.0	266.0
Киргизии	1219.0	128.0	183.0	432.0	287.0	117.0	39.0	22.0	11.0	-	218.0	965.0	36.0
Молдавии	87.0	5.0	15.0	29.0	13.0	14.0	6.0	4.0	1.0	-	15.0	65.0	7.0
Таджикистана	1612.0	112.0	192.0	639.0	442.0	180.0	35.0	7.0	5.0	-	197.0	1402.0	13.0
Туркмении	48.0	6.0	5.0	18.0	10.0	3.0	4.0	2.0	-	-	9.0	37.0	2.0
Узбекистана	1071.0	117.0	158.0	293.0	245.0	153.0	58.0	32.0	15.0	-	197.0	816.0	58.0
Украины	888.0	49.0	103.0	161.0	184.0	129.0	86.0	91.0	85.0	-	108.0	587.0	193.0
других стран мира	1146.0	66.0	142.0	303.0	332.0	204.0	46.0	31.0	22.0	-	107.0	981.0	58.0
Болгарии	12.0	1.0	3.0	2.0	1.0	2.0	3.0	-	-	-	2.0	10.0	-
Вьетнама	153.0	1.0	11.0	48.0	73.0	20.0	-	-	-	-	3.0	150.0	-
Германии	50.0	2.0	2.0	5.0	8.0	10.0	8.0	6.0	9.0	-	2.0	31.0	17.0
Греции	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Израиля	16.0	1.0	5.0	2.0	3.0	3.0	1.0	1.0	-	-	2.0	13.0	1.0
Индии	20.0	3.0	-	1.0	15.0	1.0	-	-	-	-	3.0	17.0	-
Китая	266.0	2.0	32.0	114.0	65.0	34.0	10.0	7.0	2.0	-	9.0	247.0	10.0
Латвии	16.0	-	2.0	3.0	8.0	-	-	2.0	1.0	-	2.0	11.0	3.0
Литвы	26.0	2.0	2.0	3.0	8.0	4.0	1.0	4.0	2.0	-	3.0	17.0	6.0
Сирии	11.0	-	-	8.0	1.0	1.0	1.0	-	-	-	-	11.0	-
США	63.0	22.0	1.0	10.0	17.0	6.0	4.0	3.0	-	-	23.0	36.0	4.0
Турции	24.0	4.0	1.0	6.0	10.0	3.0	-	-	-	-	4.0	20.0	-
Финляндии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Эстонии	5.0	-	-	1.0	1.0	1.0	1.0	1.0	-	-	-	4.0	1.0
без гражданства	6378.0	870.0	1363.0	1247.0	1228.0	855.0	352.0	253.0	210.0	-	1754.0	4102.0	522.0
гражданство не указано	3.0	1.0	-	-	-	-	-	1.0	-	1.0	1.0	-	1.0
Омская область													
Все население	2079220.0	195153.0	358057.0	327711.0	282501.0	351461.0	207325.0	193006.0	163468.0	538.0	393333.0	1289614.0	395735.0
в том числе:													
граждане России	2060297.0	193283.0	353933.0	323332.0	278958.0	349258.0	206353.0	192096.0	162721.0	363.0	389598.0	1276425.0	393911.0
из них имеющие два гражданства	601.0	48.0	78.0	158.0	119.0	85.0	43.0	41.0	29.0	-	73.0	452.0	76.0
иностранные граждане	10605.0	952.0	2482.0	2703.0	2062.0	1144.0	480.0	422.0	360.0	-	1780.0	7952.0	873.0
из них имеющие гражданство:													
стран СНГ	10120.0	916.0	2440.0	2587.0	1909.0	1066.0	455.0	407.0	340.0	-	1730.0	7557.0	833.0
Азербайджана	1314.0	260.0	182.0	275.0	414.0	146.0	27.0	9.0	1.0	-	402.0	898.0	14.0
Армении	1143.0	123.0	238.0	233.0	263.0	179.0	69.0	27.0	11.0	-	298.0	798.0	47.0
Белоруссии	105.0	3.0	12.0	13.0	12.0	12.0	11.0	24.0	18.0	-	9.0	50.0	46.0
Грузии	305.0	21.0	43.0	82.0	82.0	47.0	15.0	7.0	8.0	-	55.0	232.0	18.0
Казахстана	4688.0	281.0	1634.0	1288.0	537.0	357.0	184.0	224.0	183.0	-	576.0	3662.0	450.0
Киргизии	689.0	79.0	101.0	197.0	164.0	87.0	21.0	21.0	19.0	-	130.0	517.0	42.0
Молдавии	95.0	6.0	21.0	29.0	21.0	11.0	4.0	2.0	1.0	-	17.0	74.0	4.0
Таджикистана	456.0	34.0	48.0	186.0	122.0	50.0	13.0	2.0	1.0	-	55.0	398.0	3.0
Туркмении	42.0	5.0	2.0	10.0	9.0	9.0	2.0	3.0	2.0	-	6.0	31.0	5.0
Узбекистана	601.0	67.0	90.0	157.0	157.0	68.0	42.0	16.0	4.0	-	114.0	460.0	27.0
Украины	682.0	37.0	69.0	117.0	128.0	100.0	67.0	72.0	92.0	-	68.0	437.0	177.0
других стран мира	485.0	36.0	42.0	116.0	153.0	78.0	25.0	15.0	20.0	-	50.0	395.0	40.0
Болгарии	7.0	1.0	2.0	3.0	1.0	-	-	-	-	-	1.0	6.0	-
Вьетнама	85.0	3.0	-	18.0	50.0	14.0	-	-	-	-	3.0	82.0	-
Германии	65.0	8.0	10.0	9.0	13.0	11.0	5.0	6.0	3.0	-	15.0	41.0	9.0
Греции	2.0	2.0	-	-	-	-	-	-	-	-	2.0	-	-
Израиля	12.0	1.0	2.0	3.0	2.0	3.0	-	-	1.0	-	1.0	10.0	1.0
Индии	5.0	1.0	-	4.0	-	-	-	-	-	-	1.0	4.0	-
Китая	166.0	8.0	11.0	40.0	55.0	35.0	12.0	3.0	2.0	-	10.0	147.0	9.0
Латвии	15.0	-	4.0	3.0	3.0	1.0	1.0	-	3.0	-	2.0	10.0	3.0
Литвы	24.0	2.0	2.0	4.0	7.0	2.0	2.0	1.0	4.0	-	3.0	16.0	5.0
США	19.0	3.0	2.0	3.0	4.0	3.0	1.0	2.0	1.0	-	3.0	13.0	3.0
Турции	22.0	4.0	-	12.0	5.0	1.0	-	-	-	-	4.0	18.0	-
Финляндии	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
Эстонии	5.0	-	1.0	1.0	-	1.0	-	-	2.0	-	-	3.0	2.0
без гражданства	7620.0	875.0	1571.0	1574.0	1406.0	960.0	440.0	441.0	353.0	-	1874.0	4885.0	861.0
гражданство не указано	698.0	43.0	71.0	102.0	75.0	99.0	52.0	47.0	34.0	175.0	81.0	352.0	90.0
Томская область													
Все население	1046039.0	95785.0	191513.0	183392.0	136551.0	172977.0	108786.0	85423.0	71607.0	5.0	187607.0	682127.0	176300.0
в том числе:													
граждане России	1035478.0	95048.0	188835.0	180387.0	134635.0	171876.0	108336.0	85062.0	71295.0	4.0	186209.0	673708.0	175557.0
из них имеющие два гражданства	309.0	15.0	51.0	87.0	73.0	42.0	18.0	10.0	13.0	-	27.0	252.0	30.0
иностранные граждане	7858.0	490.0	2218.0	2411.0	1348.0	753.0	288.0	194.0	155.0	1.0	853.0	6617.0	387.0
из них имеющие гражданство:													
стран СНГ	7367.0	486.0	2160.0	2219.0	1201.0	689.0	276.0	187.0	148.0	1.0	847.0	6146.0	373.0
Азербайджана	1235.0	197.0	164.0	275.0	374.0	178.0	42.0	4.0	-	1.0	307.0	923.0	4.0
Армении	415.0	51.0	68.0	103.0	78.0	77.0	25.0	11.0	2.0	-	98.0	303.0	14.0
Белоруссии	97.0	3.0	9.0	18.0	15.0	20.0	9.0	13.0	10.0	-	5.0	68.0	24.0
Грузии	214.0	32.0	24.0	63.0	49.0	31.0	6.0	6.0	3.0	-	44.0	161.0	9.0
Казахстана	2909.0	48.0	1505.0	940.0	139.0	104.0	50.0	67.0	56.0	-	108.0	2664.0	137.0
Киргизии	472.0	43.0	94.0	143.0	101.0	40.0	20.0	17.0	14.0	-	73.0	366.0	33.0
Молдавии	77.0	7.0	12.0	14.0	26.0	9.0	4.0	2.0	3.0	-	11.0	60.0	6.0
Таджикистана	176.0	17.0	13.0	74.0	54.0	16.0	2.0	-	-	-	28.0	147.0	1.0
Туркмении	16.0	4.0	3.0	4.0	4.0	1.0	-	-	-	-	4.0	12.0	-
Узбекистана	1105.0	46.0	173.0	449.0	226.0	125.0	60.0	20.0	6.0	-	77.0	998.0	30.0
Украины	651.0	38.0	95.0	136.0	135.0	88.0	58.0	47.0	54.0	-	92.0	444.0	115.0
других стран мира	491.0	4.0	58.0	192.0	147.0	64.0	12.0	7.0	7.0	-	6.0	471.0	14.0
Болгарии	3.0	1.0	-	1.0	-	1.0	-	-	-	-	1.0	2.0	-
Вьетнама	37.0	-	10.0	10.0	10.0	7.0	-	-	-	-	-	37.0	-
Германии	37.0	-	3.0	16.0	6.0	7.0	1.0	2.0	2.0	-	-	33.0	4.0
Греции	4.0	-	1.0	2.0	-	-	-	1.0	-	-	-	3.0	1.0
Израиля	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Индии	4.0	-	-	1.0	3.0	-	-	-	-	-	-	4.0	-
Китая	224.0	-	15.0	86.0	86.0	32.0	5.0	-	-	-	-	224.0	-
Латвии	12.0	-	-	6.0	3.0	-	-	1.0	2.0	-	-	9.0	3.0
Литвы	14.0	-	3.0	1.0	2.0	4.0	2.0	-	2.0	-	1.0	11.0	2.0
США	23.0	-	1.0	6.0	10.0	4.0	2.0	-	-	-	-	23.0	-
Турции	16.0	-	5.0	8.0	3.0	-	-	-	-	-	-	16.0	-
Эстонии	5.0	-	-	1.0	-	1.0	1.0	1.0	1.0	-	-	3.0	2.0
без гражданства	2698.0	247.0	459.0	594.0	565.0	348.0	161.0	167.0	157.0	-	544.0	1799.0	355.0
гражданство не указано	5.0	-	1.0	-	3.0	-	1.0	-	-	-	1.0	3.0	1.0
Читинская область													
Все население	1155346.0	137330.0	220077.0	197958.0	148304.0	185848.0	107472.0	89040.0	68851.0	466.0	263858.0	715007.0	176015.0
в том числе:													
граждане России	1149497.0	136716.0	219371.0	196760.0	147061.0	184915.0	107018.0	88758.0	68653.0	245.0	262817.0	710974.0	175461.0
из них имеющие два гражданства	176.0	14.0	27.0	30.0	52.0	26.0	10.0	10.0	7.0	-	32.0	127.0	17.0
иностранные граждане	2699.0	350.0	323.0	618.0	719.0	402.0	136.0	78.0	65.0	8.0	554.0	1975.0	162.0
из них имеющие гражданство:													
стран СНГ	2355.0	332.0	278.0	515.0	636.0	353.0	112.0	70.0	59.0	-	515.0	1695.0	145.0
Азербайджана	506.0	106.0	76.0	97.0	165.0	53.0	4.0	5.0	-	-	166.0	335.0	5.0
Армении	522.0	85.0	66.0	113.0	142.0	78.0	26.0	10.0	2.0	-	131.0	376.0	15.0
Белоруссии	84.0	10.0	3.0	18.0	19.0	17.0	9.0	5.0	3.0	-	11.0	64.0	9.0
Грузии	116.0	14.0	12.0	35.0	25.0	22.0	6.0	1.0	1.0	-	21.0	91.0	4.0
Казахстана	82.0	9.0	13.0	17.0	15.0	13.0	5.0	3.0	7.0	-	15.0	56.0	11.0
Киргизии	253.0	55.0	33.0	64.0	63.0	30.0	3.0	2.0	3.0	-	71.0	177.0	5.0
Молдавии	49.0	2.0	4.0	13.0	7.0	13.0	2.0	6.0	2.0	-	5.0	35.0	9.0
Таджикистана	151.0	11.0	14.0	44.0	56.0	23.0	3.0	-	-	-	16.0	135.0	-
Туркмении	2.0	-	1.0	-	-	1.0	-	-	-	-	-	2.0	-
Узбекистана	138.0	13.0	15.0	40.0	31.0	20.0	10.0	5.0	4.0	-	22.0	106.0	10.0
Украины	452.0	27.0	41.0	74.0	113.0	83.0	44.0	33.0	37.0	-	57.0	318.0	77.0
других стран мира	344.0	18.0	45.0	103.0	83.0	49.0	24.0	8.0	6.0	8.0	39.0	280.0	17.0
Вьетнама	10.0	2.0	2.0	1.0	3.0	1.0	1.0	-	-	-	3.0	7.0	-
Израиля	2.0	-	-	-	-	-	2.0	-	-	-	-	2.0	-
Индии	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Китая	253.0	7.0	28.0	88.0	63.0	32.0	16.0	7.0	4.0	8.0	20.0	212.0	13.0
Латвии	4.0	-	2.0	-	2.0	-	-	-	-	-	1.0	3.0	-
Литвы	8.0	1.0	-	1.0	1.0	2.0	1.0	1.0	1.0	-	1.0	4.0	3.0
США	4.0	1.0	-	2.0	1.0	-	-	-	-	-	1.0	3.0	-
Эстонии	5.0	3.0	-	1.0	-	-	1.0	-	-	-	3.0	2.0	-
без гражданства	984.0	137.0	171.0	180.0	225.0	139.0	61.0	38.0	31.0	2.0	261.0	643.0	78.0
гражданство не указано	2166.0	127.0	212.0	400.0	299.0	392.0	257.0	166.0	102.0	211.0	226.0	1415.0	314.0
Агинский Бурятский автономный округ													
Все население	72213.0	11552.0	15584.0	10818.0	9996.0	11208.0	5361.0	4266.0	3427.0	1.0	22164.0	41433.0	8615.0
в том числе:													
граждане России	72032.0	11534.0	15548.0	10792.0	9958.0	11174.0	5349.0	4255.0	3421.0	1.0	22122.0	41313.0	8596.0
из них имеющие два гражданства	25.0	2.0	5.0	3.0	6.0	6.0	-	3.0	-	-	6.0	16.0	3.0
иностранные граждане	154.0	12.0	33.0	24.0	31.0	30.0	11.0	9.0	4.0	-	33.0	107.0	14.0
из них имеющие гражданство:													
стран СНГ	79.0	6.0	18.0	12.0	19.0	15.0	4.0	5.0	-	-	18.0	55.0	6.0
Азербайджана	8.0	-	1.0	-	-	5.0	-	2.0	-	-	1.0	5.0	2.0
Армении	19.0	3.0	4.0	4.0	5.0	2.0	-	1.0	-	-	6.0	12.0	1.0
Белоруссии	6.0	-	-	2.0	1.0	2.0	-	1.0	-	-	-	5.0	1.0
Грузии	5.0	-	-	-	2.0	2.0	1.0	-	-	-	-	5.0	-
Казахстана	8.0	-	3.0	1.0	-	3.0	1.0	-	-	-	1.0	7.0	-
Киргизии	20.0	3.0	8.0	2.0	6.0	1.0	-	-	-	-	9.0	11.0	-
Молдавии	5.0	-	-	1.0	2.0	-	1.0	1.0	-	-	-	3.0	2.0
Таджикистана	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Узбекистана	4.0	-	2.0	1.0	-	-	1.0	-	-	-	1.0	3.0	-
Украины	3.0	-	-	1.0	2.0	-	-	-	-	-	-	3.0	-
других стран мира	75.0	6.0	15.0	12.0	12.0	15.0	7.0	4.0	4.0	-	15.0	52.0	8.0
Китая	57.0	4.0	11.0	9.0	11.0	9.0	5.0	4.0	4.0	-	11.0	38.0	8.0
Латвии	3.0	-	2.0	-	1.0	-	-	-	-	-	1.0	2.0	-
США	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
без гражданства	17.0	3.0	-	2.0	6.0	3.0	-	2.0	1.0	-	3.0	11.0	3.0
гражданство не указано	10.0	3.0	3.0	-	1.0	1.0	1.0	-	1.0	-	6.0	2.0	2.0
Дальневосточный федеральный округ													
Республика Саха (Якутия)													
Все население	949280.0	137831.0	186206.0	150439.0	141504.0	164986.0	89046.0	50100.0	29009.0	159.0	251721.0	602750.0	94650.0
в том числе:													
граждане России	935026.0	136639.0	184586.0	147037.0	137828.0	162424.0	87944.0	49714.0	28757.0	97.0	249526.0	591528.0	93875.0
из них имеющие два гражданства	400.0	26.0	25.0	118.0	103.0	73.0	26.0	20.0	9.0	-	39.0	330.0	31.0
иностранные граждане	9009.0	645.0	749.0	2464.0	2538.0	1668.0	642.0	171.0	132.0	-	1117.0	7527.0	365.0
из них имеющие гражданство:													
стран СНГ	7967.0	627.0	699.0	2191.0	2112.0	1443.0	599.0	165.0	131.0	-	1083.0	6528.0	356.0
Азербайджана	386.0	46.0	48.0	96.0	121.0	59.0	12.0	3.0	1.0	-	81.0	301.0	4.0
Армении	826.0	75.0	85.0	179.0	203.0	195.0	66.0	21.0	2.0	-	136.0	664.0	26.0
Белоруссии	187.0	12.0	9.0	47.0	53.0	39.0	19.0	8.0	-	-	20.0	157.0	10.0
Грузии	52.0	-	8.0	17.0	12.0	8.0	4.0	1.0	2.0	-	3.0	45.0	4.0
Казахстана	462.0	45.0	52.0	120.0	89.0	70.0	38.0	16.0	32.0	-	82.0	327.0	53.0
Киргизии	850.0	95.0	64.0	305.0	250.0	103.0	23.0	4.0	6.0	-	133.0	707.0	10.0
Молдавии	365.0	40.0	29.0	109.0	107.0	53.0	19.0	5.0	3.0	-	59.0	298.0	8.0
Таджикистана	509.0	21.0	43.0	183.0	160.0	84.0	18.0	-	-	-	30.0	479.0	-
Туркмении	4.0	-	-	1.0	3.0	-	-	-	-	-	-	4.0	-
Узбекистана	349.0	17.0	33.0	94.0	89.0	83.0	28.0	2.0	3.0	-	34.0	309.0	6.0
Украины	3977.0	276.0	328.0	1040.0	1025.0	749.0	372.0	105.0	82.0	-	505.0	3237.0	235.0
других стран мира	1042.0	18.0	50.0	273.0	426.0	225.0	43.0	6.0	1.0	-	34.0	999.0	9.0
Афганистана	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Болгарии	2.0	1.0	-	-	-	-	-	1.0	-	-	1.0	-	1.0
Вьетнама	4.0	-	-	-	2.0	2.0	-	-	-	-	-	4.0	-
Германии	2.0	1.0	-	-	-	-	1.0	-	-	-	1.0	1.0	-
Израиля	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Индии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Китая	839.0	-	34.0	229.0	378.0	172.0	23.0	2.0	1.0	-	4.0	830.0	5.0
Латвии	6.0	1.0	2.0	-	2.0	1.0	-	-	-	-	3.0	3.0	-
Литвы	9.0	1.0	-	3.0	1.0	1.0	3.0	-	-	-	1.0	8.0	-
США	14.0	5.0	3.0	1.0	2.0	2.0	1.0	-	-	-	8.0	6.0	-
Турции	24.0	1.0	1.0	21.0	-	1.0	-	-	-	-	1.0	23.0	-
Эстонии	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
без гражданства	3043.0	339.0	553.0	556.0	727.0	516.0	197.0	100.0	55.0	-	694.0	2167.0	182.0
гражданство не указано	2202.0	208.0	318.0	382.0	411.0	378.0	263.0	115.0	65.0	62.0	384.0	1528.0	228.0
Приморский край													
Все население	2071210.0	184532.0	345193.0	343508.0	297097.0	332916.0	249003.0	194122.0	123654.0	1185.0	371385.0	1328848.0	369792.0
в том числе:													
граждане России	2054849.0	183285.0	343249.0	339976.0	293055.0	330248.0	247793.0	193311.0	123105.0	827.0	368990.0	1316812.0	368220.0
из них имеющие два гражданства	306.0	29.0	27.0	60.0	78.0	55.0	17.0	26.0	14.0	-	49.0	214.0	43.0
иностранные граждане	8820.0	485.0	827.0	2121.0	2642.0	1589.0	548.0	350.0	250.0	8.0	954.0	7180.0	678.0
из них имеющие гражданство:													
стран СНГ	4638.0	447.0	636.0	988.0	1099.0	594.0	317.0	321.0	231.0	5.0	880.0	3134.0	619.0
Азербайджана	747.0	114.0	95.0	171.0	260.0	94.0	8.0	3.0	2.0	-	190.0	552.0	5.0
Армении	953.0	115.0	210.0	158.0	252.0	138.0	46.0	22.0	9.0	3.0	277.0	637.0	36.0
Белоруссии	148.0	3.0	11.0	26.0	39.0	27.0	6.0	20.0	16.0	-	10.0	101.0	37.0
Грузии	96.0	17.0	10.0	27.0	16.0	11.0	7.0	6.0	2.0	-	24.0	63.0	9.0
Казахстана	274.0	13.0	46.0	64.0	47.0	40.0	22.0	27.0	15.0	-	41.0	187.0	46.0
Киргизии	160.0	16.0	22.0	57.0	31.0	6.0	11.0	9.0	8.0	-	32.0	108.0	20.0
Молдавии	115.0	11.0	12.0	43.0	24.0	13.0	7.0	2.0	3.0	-	17.0	91.0	7.0
Таджикистана	163.0	12.0	20.0	60.0	46.0	11.0	11.0	2.0	1.0	-	22.0	135.0	6.0
Туркмении	12.0	1.0	2.0	4.0	3.0	1.0	-	1.0	-	-	1.0	10.0	1.0
Узбекистана	690.0	88.0	104.0	188.0	130.0	89.0	61.0	22.0	8.0	-	145.0	503.0	42.0
Украины	1280.0	57.0	104.0	190.0	251.0	164.0	138.0	207.0	167.0	2.0	121.0	747.0	410.0
других стран мира	4182.0	38.0	191.0	1133.0	1543.0	995.0	231.0	29.0	19.0	3.0	74.0	4046.0	59.0
Афганистана	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Болгарии	4.0	-	-	2.0	-	1.0	-	-	1.0	-	-	3.0	1.0
Вьетнама	178.0	10.0	9.0	37.0	67.0	44.0	8.0	3.0	-	-	13.0	162.0	3.0
Германии	5.0	-	-	3.0	-	-	2.0	-	-	-	-	4.0	1.0
Израиля	2.0	-	-	1.0	-	-	-	-	1.0	-	-	1.0	1.0
Индии	3.0	-	-	2.0	-	-	1.0	-	-	-	-	3.0	-
Китая	3476.0	5.0	142.0	999.0	1330.0	808.0	173.0	14.0	5.0	-	13.0	3437.0	26.0
Латвии	15.0	1.0	3.0	2.0	4.0	2.0	2.0	1.0	-	-	3.0	11.0	1.0
Литвы	19.0	-	1.0	7.0	5.0	3.0	-	2.0	1.0	-	1.0	15.0	3.0
США	23.0	3.0	-	4.0	4.0	2.0	6.0	3.0	1.0	-	3.0	15.0	5.0
Турции	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Эстонии	5.0	-	-	1.0	1.0	1.0	1.0	-	1.0	-	-	4.0	1.0
без гражданства	3703.0	417.0	654.0	786.0	795.0	519.0	252.0	156.0	119.0	5.0	833.0	2540.0	325.0
гражданство не указано	3838.0	345.0	463.0	625.0	605.0	560.0	410.0	305.0	180.0	345.0	608.0	2316.0	569.0
Хабаровский край													
Все население	1436570.0	128924.0	249947.0	249635.0	202017.0	227508.0	170619.0	125655.0	81990.0	275.0	260162.0	934557.0	241576.0
в том числе:													
граждане России	1422740.0	127904.0	248434.0	246552.0	198278.0	225056.0	169682.0	125144.0	81565.0	125.0	258325.0	923788.0	240502.0
из них имеющие два гражданства	388.0	34.0	34.0	73.0	108.0	58.0	32.0	28.0	21.0	-	60.0	273.0	55.0
иностранные граждане	9333.0	549.0	793.0	2296.0	2847.0	1783.0	548.0	275.0	235.0	7.0	904.0	7840.0	582.0
из них имеющие гражданство:													
стран СНГ	4432.0	492.0	514.0	998.0	1064.0	659.0	273.0	235.0	196.0	1.0	820.0	3127.0	484.0
Азербайджана	1108.0	217.0	150.0	233.0	344.0	142.0	14.0	5.0	3.0	-	330.0	770.0	8.0
Армении	426.0	56.0	64.0	96.0	111.0	69.0	19.0	7.0	4.0	-	102.0	311.0	13.0
Белоруссии	200.0	13.0	15.0	28.0	37.0	40.0	25.0	23.0	19.0	-	23.0	130.0	47.0
Грузии	173.0	16.0	21.0	47.0	37.0	25.0	14.0	8.0	5.0	-	30.0	128.0	15.0
Казахстана	243.0	18.0	44.0	41.0	45.0	33.0	28.0	18.0	16.0	-	42.0	164.0	37.0
Киргизии	120.0	17.0	9.0	33.0	32.0	17.0	4.0	2.0	6.0	-	23.0	89.0	8.0
Молдавии	107.0	9.0	10.0	28.0	27.0	21.0	6.0	3.0	3.0	-	13.0	88.0	6.0
Таджикистана	286.0	43.0	50.0	100.0	66.0	22.0	4.0	1.0	-	-	67.0	217.0	2.0
Туркмении	18.0	2.0	5.0	2.0	6.0	-	-	3.0	-	-	7.0	8.0	3.0
Узбекистана	347.0	41.0	47.0	106.0	72.0	45.0	22.0	7.0	7.0	-	65.0	265.0	17.0
Украины	1404.0	60.0	99.0	284.0	287.0	245.0	137.0	158.0	133.0	1.0	118.0	957.0	328.0
других стран мира	4901.0	57.0	279.0	1298.0	1783.0	1124.0	275.0	40.0	39.0	6.0	84.0	4713.0	98.0
Афганистана	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Болгарии	2.0	-	1.0	-	-	1.0	-	-	-	-	1.0	1.0	-
Вьетнама	471.0	16.0	35.0	179.0	185.0	52.0	4.0	-	-	-	27.0	444.0	-
Германии	6.0	-	1.0	2.0	2.0	-	1.0	-	-	-	-	5.0	1.0
Израиля	21.0	7.0	2.0	4.0	3.0	3.0	-	1.0	1.0	-	9.0	10.0	2.0
Индии	5.0	-	-	1.0	2.0	1.0	1.0	-	-	-	-	5.0	-
Китая	3148.0	12.0	216.0	986.0	1138.0	608.0	156.0	21.0	5.0	6.0	16.0	3088.0	38.0
Латвии	10.0	-	2.0	1.0	2.0	3.0	1.0	-	1.0	-	2.0	7.0	1.0
Литвы	14.0	-	2.0	-	4.0	6.0	-	2.0	-	-	1.0	11.0	2.0
США	19.0	4.0	2.0	1.0	3.0	3.0	5.0	1.0	-	-	4.0	12.0	3.0
Турции	135.0	-	-	41.0	69.0	25.0	-	-	-	-	-	135.0	-
Финляндии	7.0	-	-	1.0	-	1.0	4.0	1.0	-	-	-	6.0	1.0
Эстонии	3.0	-	-	1.0	1.0	-	1.0	-	-	-	-	3.0	-
без гражданства	2124.0	259.0	422.0	363.0	507.0	305.0	112.0	76.0	78.0	2.0	540.0	1405.0	177.0
гражданство не указано	2373.0	212.0	298.0	424.0	385.0	364.0	277.0	160.0	112.0	141.0	393.0	1524.0	315.0
Амурская область													
Все население	902844.0	92792.0	159881.0	152284.0	123584.0	147040.0	99265.0	76396.0	51270.0	332.0	182067.0	574424.0	146021.0
в том числе:													
граждане России	897298.0	92281.0	159122.0	151142.0	122241.0	146205.0	98896.0	76160.0	51088.0	163.0	181076.0	570524.0	145535.0
из них имеющие два гражданства	137.0	6.0	18.0	33.0	32.0	27.0	9.0	4.0	8.0	-	18.0	106.0	13.0
иностранные граждане	3220.0	286.0	373.0	744.0	917.0	477.0	174.0	138.0	110.0	1.0	505.0	2430.0	284.0
из них имеющие гражданство:													
стран СНГ	2454.0	270.0	325.0	503.0	607.0	364.0	152.0	129.0	104.0	-	478.0	1710.0	266.0
Азербайджана	263.0	47.0	30.0	61.0	88.0	28.0	6.0	2.0	1.0	-	66.0	193.0	4.0
Армении	634.0	88.0	107.0	124.0	165.0	103.0	31.0	13.0	3.0	-	171.0	441.0	22.0
Белоруссии	130.0	4.0	12.0	20.0	29.0	24.0	16.0	10.0	15.0	-	11.0	92.0	27.0
Грузии	119.0	10.0	18.0	28.0	34.0	17.0	3.0	7.0	2.0	-	22.0	88.0	9.0
