11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И  ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работаюшие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Центральный федеральный округ								
лица, неточно указавшие или не указавшие  занятия 	7053.0	6576.0	440.0	47.0	327.0	43.0	23.0	37.0
Тверская область								
Все население, занятое в экономике 	612371.0	580827.0	30710.0	9076.0	18530.0	2041.0	1063.0	834.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	74170.0	58656.0	15412.0	7230.0	7432.0	472.0	278.0	102.0
специалисты высшего уровня квалификации	70585.0	69188.0	1289.0	183.0	809.0	176.0	121.0	108.0
специалисты среднего уровня квалификации	77971.0	76529.0	1339.0	187.0	890.0	170.0	92.0	103.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	15440.0	15288.0	137.0	24.0	95.0	13.0	5.0	15.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	73315.0	68210.0	4989.0	626.0	3888.0	289.0	186.0	116.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	14490.0	13883.0	586.0	97.0	435.0	37.0	17.0	21.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	110609.0	107795.0	2685.0	276.0	1976.0	315.0	118.0	129.0
операторы, аппаратчики, машинисты установок и машин	87912.0	85322.0	2483.0	271.0	1905.0	206.0	101.0	107.0
неквалифицированные рабочие	69448.0	68259.0	1119.0	98.0	757.0	190.0	74.0	70.0
занятые на военной службе	9096.0	9096.0						-
лица, неточно указавшие или не указавшие  занятия 	9335.0	8601.0	671.0	84.0	343.0	173.0	71.0	63.0
Тульская область								
Все население, занятое в экономике 	690360.0	658861.0	30806.0	9556.0	18676.0	1834.0	740.0	693.0
в том числе по группам занятий:								
